CSA2010,Total Population (2010),Total Male Population (2010),Total Female Population (2010),Percent of Residents - Black/African-American (2010),Percent of Residents - White/Caucasian (2010),Percent of Residents - Asian (2010),Percent of Residents - Two or More Races (2010),"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (2010)",Percent of Residents - Hispanic (2010),Racial Diversity Index (2010),Percent of Population 0-5 years old (2010),Percent of Population 6-18 years old (2010),Percent of Population 19-24 years old (2010),Percent of Population 25-64 years old (2010),Percent of Population 65 years and over (2010),Total Number of Households (2010),Percent of Female-Headed Households with Children under 18 (2010),Percent of Households with Children Under 18 (2010),Average Household Size (2010),Median Household Income (2010-2014),"Percent of Households Earning Less than $25,000 (2010-2014)","Percent of Households Earning $25,000 to $40,000 (2010-2014)","Percent of Households Earning $40,000 to $60,000 (2010-2014)","Percent of Households Earning $60,000 to $75,000 (2010-2014)","Percent of Households Earning More than $75,000 (2010-2014)",Percent of Family Households Living Below the Poverty Line (2010-2014),Percent of Children Living Below the Poverty Line (2010-2014)
Midway/Coldstream,"9,624","4,448","5,176",95.6,1.4,0.5,1.1,0.3,1.1,9.6,7.1,18.8,11.3,50.5,12.3,"3,212",67,38.2,3,"34,522.90",41,15.4,19.1,9.2,15.3,26.6,42.6
Morrell Park/Violetville,"8,964","4,238","4,726",17.6,72.5,2.4,2.4,0.8,4.3,46.4,5.9,13.5,8.6,54.2,17.8,"3,785",34.2,25.6,2.3,"38,209.59",37.3,14.5,18.1,10.3,19.8,12.1,17
Mount Washington/Coldspring,"5,168","2,312","2,856",22.6,68,3.9,2.4,0.5,2.5,49.2,6.3,13.8,4.2,59.5,16.1,"2,466",20.3,23,1.9,"76,262.58",16.3,9.4,13,10.7,50.6,6,9
North Baltimore/Guilford/Homeland,"17,464","7,953","9,511",11.8,75,7.5,1.9,0.3,3.3,42.3,4.6,10.3,28.2,44,12.8,"6,479",15.1,22.6,2.3,"81,450.63",18.3,10.1,11.4,7.8,52.3,5.3,7.6
Northwood,"16,643","7,506","9,137",88.6,7.2,0.6,1.5,0.4,1.7,22.5,5.3,12.8,24.7,44.3,13,"5,532",55.4,30.3,2.5,"58,265.65",20.6,12.8,17.8,15.8,33.1,9.3,14.8
Oldtown/Middle East,"10,021","4,543","5,478",89.5,5.4,2,1,0.3,1.7,20.8,7.9,17.2,12.3,50.8,11.9,"3,792",81.4,33.2,2.3,"14,105.44",67.2,11.6,9.1,3.6,8.6,51.4,69.8
Orangeville/East Highlandtown,"9,131","4,744","4,387",12.2,51.6,3,1.9,0.9,30.3,77.8,7.9,13.2,10.4,56.4,12.2,"3,357",34.5,30.2,2.8,"40,430.66",32.1,17.1,18.8,10.2,21.8,12.3,21.8
Patterson Park North & East,"14,549","7,289","7,260",38,36,1.9,1.8,1.2,21.1,77,8.1,14.1,11.6,59.9,6.3,"5,289",48.5,31,2.8,"56,651.51",24.6,10.6,17,7.4,40.3,26,39.7
Penn North/Reservoir Hill,"9,668","4,501","5,167",90.3,5.7,0.3,1.7,0.5,1.5,19.3,7.8,16.5,10.1,56.4,9.2,"4,248",66.8,27.9,2.3,"33,263.81",40.4,18.4,19.9,5.9,15.5,31.1,47.2
Pimlico/Arlington/Hilltop,"11,816","5,458","6,358",94.4,2.8,0.2,1.2,0.3,1.1,12,6.3,16.8,9.7,49.9,17.3,"4,464",63.3,31.7,2.7,"32,409.83",40.7,15.3,20.7,5.6,17.6,19.9,41
